movie_name,movie_type,total,price_average,session_average,origin,time
博物馆奇妙夜2,喜剧,11310,29,31,美国,2009-05-26
终结者2018,科幻,10957,30,30,美国/德国/英国,2009-06-09
游龙戏凤,爱情,10811,33,36,中国香港/中国,2009-01-26
疯狂的赛车,喜剧,10494,30,37,中国,2009-01-20
大内密探灵灵狗,喜剧,10022,29,42,中国香港/中国,2009-07-30
非常完美,爱情,9194,31,31,韩国/中国,2009-08-13
窃听风云,剧情,8635,29,42,中国香港/中国,2009-07-24
花木兰,爱情,8087,31,38,中国/美国,2009-11-27
喜羊羊与灰太狼之牛气冲天,动画,7960,26,49,中国,2009-01-16
飞屋环游记,动画,7907,43,41,美国,2009-08-04
金刚狼,动作,7695,30,25,美国,2009-05-03
非诚勿扰,爱情,7423,34,33,中国/中国香港,2008-12-18
麦兜响当当,动画,7021,28,41,中国香港/中国,2017-03-17
七龙珠,动作,6500,29,23,美国,2009-03-14
阿凡达,科幻/动作,133983,50,72,美国,2010-01-04
唐山大地震,剧情,64988,37,51,中国/中国香港,2010-07-22
让子弹飞,喜剧,47376,38,62,中国/中国香港,2010-12-16
盗梦空间,科幻/动作,46235,34,50,美国/英国,2010-09-01
非诚勿扰2,爱情,32850,39,62,中国/中国香港,2010-12-22
狄仁杰之通天帝国,动作,28616,33,40,中国/中国香港,2010-09-29
叶问2：宗师传奇,动作,22952,33,36,中国/中国香港,2010-04-27
爱丽丝梦游仙境,奇幻,22874,47,39,美国,2010-03-26
敢死队,动作,21443,32,38,美国,2010-08-20
哈利·波特与死亡圣器(上),魔幻/动作,20987,32,38,英国/美国,2010-11-19
赵氏孤儿,动作,18004,33,34,中国,2010-12-04
赵氏孤儿,动作,18004,33,34,中国,
钢铁侠2,科幻/动作,17508,33,33,美国,2010-05-07
诸神之战,魔幻/动作,17113,50,37,美国,2010-04-16
波斯王子：时之刃,科幻/动作,15907,32,35,美国,2010-05-28
大兵小将,动作,15728,32,40,中国/中国香港,2010-02-14
大笑江湖,喜剧,15093,32,32,中国/中国台湾,2010-12-03
山楂树之恋,爱情,14496,33,29,中国,2010-09-15
锦衣卫,动作,14030,33,39,中国/中国香港,2010-02-03
精武风云·陈真,动作,13821,33,33,中国/中国香港,2010-09-21
生化危机4：战神再生,动作/科幻,13548,40,26,美国/德国/法国/英国,2010-11-16
越光宝盒,喜剧,13059,32,31,中国香港/中国,2010-03-18
全城热恋,爱情,12942,34,38,中国/中国香港,2010-02-11
枪王之王,动作,12658,32,35,中国香港/中国,2010-07-02
杜拉拉升职记,爱情,12441,32,31,中国,2010-04-15
变形金刚3,科幻,107150,42,54,美国,2011-07-21
功夫熊猫2,动画,61198,38,42,美国,2011-05-28
加勒比海盗4：惊涛怪浪,魔幻/动作,46439,38,45,美国,2011-05-20
金陵十三钗,战争,45013,41,47,中国,2011-12-15
建党伟业,战争,40719,35,37,中国/中国香港,2011-06-15
哈利·波特与死亡圣器(下),魔幻/动作,40245,39,40,英国/美国,2011-08-04
龙门飞甲,动作,39664,44,41,中国/中国香港,2011-12-15
失恋33天,爱情,32051,32,37,中国,2011-11-08
蓝精灵,动画,25221,38,38,美国,2011-08-10
速度与激情5,动作/剧情,25215,32,38,美国,2011-05-12
洛杉矶之战,科幻/战争,22600,32,32,美国,2011-03-18
新少林寺,动作,21253,36,34,中国/中国香港,2011-01-19
窃听风云2,动作,20887,34,30,中国/中国香港,2011-08-18
武林外传,喜剧,19600,36,36,中国,2011-01-26
将爱情进行到底,爱情,19363,35,27,中国,2011-02-12
武林外传,古装/喜剧,18648,36,33,中国,
猩球崛起,科幻/动作,18313,31,31,美国,2011-10-28
武侠,动作,17017,34,29,中国/中国香港,2011-07-04
白蛇传说,爱情,16878,33,25,中国,2011-09-28
最强囍事,喜剧,16493,34,35,中国香港/中国,2011-01-31
让子弹飞,喜剧,16310,38,28,中国/中国香港,2010-12-16
关云长,动作,15739,34,26,中国/中国香港,2011-04-26
画壁,奇幻,14934,33,26,中国/中国香港,2011-09-29
倩女幽魂,爱情,14093,34,22,中国/中国香港,2011-04-19
鸿门宴,动作,13960,33,24,中国,2011-11-29
人再囧途之泰囧,喜剧,100303,32,57,中国,2012-12-12
泰坦尼克号3D,爱情,94620,45,54,美国,2012-04-10
画皮2,爱情,70210,41,37,中国/中国香港,2012-06-28
碟中谍4,动作,67219,35,43,美国,2012-01-28
少年派的奇幻漂流,剧情,57289,39,38,美国,2012-11-22
复仇者联盟,科幻,56649,42,33,美国,2012-05-05
十二生肖,动作,53527,41,50,中国/中国香港,2012-12-20
黑衣人3,科幻,50343,41,29,美国,2012-05-25
冰川时代4：大陆漂移,动画,44743,38,28,美国,2012-07-27
地心历险记2：神秘岛,科幻,38652,42,31,美国,2012-02-10
一九四二,战争,36994,37,31,中国/中国香港,2012-11-29
蝙蝠侠：黑暗骑士崛起,动作,33878,37,29,美国/英国,2012-08-27
敢死队2,动作/惊悚,33158,33,26,美国/中国,2012-09-04
超凡蜘蛛侠,科幻,31052,41,26,美国,2012-08-27
超级战舰,动作/科幻,31011,34,31,美国,2012-04-18
异星战场,科幻/动作,26009,40,25,美国,2012-03-16
寒战,动作,25304,32,21,中国香港,2012-11-08
听风者,剧情,23217,35,26,中国/中国香港,2012-08-07
普罗米修斯,科幻,22321,40,23,美国,2012-09-02
谍影重重4,动作,21315,33,22,美国,2012-10-25
马达加斯加3,动画,20916,39,24,美国,2012-06-08
四大名捕,动作,19182,33,23,中国/中国香港,2012-07-12
大侦探福尔摩斯2,惊悚/动作,18806,33,37,美国,2012-01-15
饥饿游戏,动作/科幻,17434,34,26,美国,2012-06-14
大魔术师,爱情,17363,34,33,中国/中国香港,2012-01-12
西游降魔篇,奇幻,124699,40,41,中国/中国香港,2013-02-10
钢铁侠3,科幻,75486,42,33,美国/中国,2013-05-01
致我们终将逝去的青春,爱情,71910,32,36,中国,2013-04-26
环太平洋,科幻,69465,40,38,美国,2013-07-31
狄仁杰之神都龙王,动作,60078,40,30,中国,2013-09-28
私人订制,喜剧,58872,36,35,中国/中国香港,2013-12-19
中国合伙人,爱情,53879,32,27,中国/中国香港,2013-05-17
北京遇上西雅图,爱情,51975,32,31,中国/中国香港,2013-03-21
小时代,爱情,48436,32,32,中国,2013-06-27
地心引力,科幻,43553,41,23,美国,2013-11-19
速度与激情6,动作,41330,33,33,美国,2013-07-26
疯狂原始人,动画,39472,37,28,美国,2013-04-20
超人：钢铁之躯,动作,39448,41,28,美国,2013-06-20
007：大破天幕杀机,动作,37613,35,29,英国/美国,2013-01-21
星际迷航：暗黑无界,科幻,35294,41,23,美国,2013-05-28
侏罗纪公园,科幻,34886,38,26,美国,2013-08-20
十二生肖,动作,34588,39,27,中国/中国香港,2012-12-20
警察故事2013,动作,34537,40,32,中国/中国香港,2013-12-24
雷神2：黑暗世界,动作,34240,39,22,美国,2013-11-08
特种部队2：全面反击,动作,33806,40,25,美国,2013-04-15
霍比特人1：意外旅程,魔幻,31579,44,27,美国,2013-02-22
风暴,动作,30828,39,23,中国/中国香港,2013-12-12
天机·富春山居图,动作,30032,39,24,中国/中国香港,2013-06-09
小时代2：青木时代,爱情,29590,31,29,中国/中国台湾,2013-08-08
一代宗师,动作,28784,36,25,中国/中国香港,2013-01-08
变形金刚4：绝迹重生,科幻,197751,42,50,美国/中国,2014-06-27
心花路放,喜剧,116934,34,36,中国,2014-09-30
西游记之大闹天宫,魔幻,104549,42,40,中国/中国香港,2014-01-31
星际穿越,科幻,75532,36,34,美国/英国,2014-11-12
X战警：逆转未来,科幻,72296,37,29,美国,2014-05-23
美国队长2：冬日战士,动作,71853,39,29,美国,2014-04-04
猩球崛起2：黎明之战,科幻,70922,37,28,美国,2014-08-29
爸爸去哪儿,剧情,69628,32,41,中国,2014-01-31
分手大师,喜剧,66540,33,34,中国,2014-06-27
后会无期,爱情,62881,32,34,中国,2014-07-24
银河护卫队,动作,59601,39,23,美国,2014-10-10
超凡蜘蛛侠2,科幻,58559,39,23,美国,2014-05-04
匆匆那年,爱情,58162,35,25,中国,2014-12-05
澳门风云,喜剧,52470,32,31,中国/中国香港,2014-01-31
小时代3：刺金时代,爱情,52156,32,33,中国,2014-07-17
一步之遥,喜剧,49195,42,26,中国/中国香港,2014-12-18
哥斯拉,科幻,48142,38,26,美国,2014-06-13
霍比特人2：史矛革之战,魔幻,46271,41,26,美国,2014-02-21
同桌的妳,爱情,45574,33,23,中国,2014-04-25
智取威虎山,动作,45527,41,33,中国/中国香港,2014-12-23
敢死队3,动作,45327,32,23,美国/中国,2014-09-01
京城81号,惊悚,41184,35,30,中国,2014-07-18
极品飞车,动作,41168,38,22,美国,2014-03-14
明日边缘,科幻,40641,38,24,美国,2014-06-06
北京爱情故事,爱情,40552,34,26,中国/中国香港,2014-02-13
捉妖记,奇幻,243997,37,42,中国香港/中国,2015-07-16
速度与激情7,动作,242658,39,42,美国/日本,2015-04-12
港囧,喜剧,161354,33,40,中国,2015-09-25
复仇者联盟2：奥创纪元,科幻,146439,40,29,美国,2015-05-12
夏洛特烦恼,喜剧,144160,32,34,中国,2015-09-30
侏罗纪世界,动作,142070,38,33,美国,2015-06-10
寻龙诀,动作,137391,36,45,中国香港/中国,2015-12-18
煎饼侠,喜剧,116031,33,39,中国,2015-07-17
澳门风云2,喜剧,97485,39,37,中国香港/中国,2015-02-19
西游记之大圣归来,动画,95643,35,34,中国,2015-07-10
碟中谍5：神秘国度,动作,86977,33,26,美国/中国,2015-09-08
霍比特人3：五军之战,奇幻,76650,40,30,美国/新西兰,2015-01-23
天将雄师,动作,74418,41,38,中国,2015-02-19
终结者：创世纪,科幻,72536,37,24,美国,2015-08-23
狼图腾,剧情,69960,39,34,中国/法国,2015-02-19
九层妖塔,动作,68293,34,30,中国,2015-09-30
蚁人,科幻,67176,36,22,美国,2015-10-16
末日崩塌,灾难,62967,37,24,美国,2015-06-02
恶棍天使,喜剧,59736,30,46,中国,2015-12-24
火星救援,科幻,58690,37,24,美国,2015-11-25
杀破狼2,动作,56040,36,25,中国/中国香港,2015-06-18
战狼,动作,54447,34,25,中国,2015-04-02
007：幽灵党,动作,54209,32,28,美国/英国,2015-11-13
哆啦A梦：伴我同行,动画,53032,35,22,日本,2015-05-28
超能陆战队,动画,52643,37,26,美国,2015-02-28
美人鱼,喜剧,339210,37,44,中国/中国香港,2016-02-08
疯狂动物城,动画,153033,34,29,美国,2016-03-04
魔兽,动作,147214,37,25,美国,2016-06-08
美国队长3：英雄内战,动作,124625,35,25,美国,2016-05-06
西游记之孙悟空三打白骨精,动作,120101,37,36,中国,2016-02-08
湄公河行动,动作,118417,30,25,中国香港/中国,2016-09-30
澳门风云3,喜剧,111818,36,36,中国/中国香港,2016-02-08
盗墓笔记,奇幻,100439,35,27,中国,2016-08-05
功夫熊猫3,动画,100200,36,25,中国/美国,2016-01-29
长城,奇幻,97937,35,25,美国/中国,2016-12-16
奇幻森林,奇幻,97933,34,24,美国,2016-04-15
绝地逃亡,动作,88938,35,25,美国/中国香港/中国,2016-07-21
星球大战：原力觉醒,科幻,82557,37,24,美国,2016-01-09
从你的全世界路过,爱情,81417,31,22,中国,2016-09-29
X战警：天启,动作,80284,34,23,美国,2016-06-03
北京遇上西雅图之不二情书,爱情,78675,34,24,中国/中国香港,2016-04-29
叶问3,动作,77028,39,23,中国/中国香港,2016-03-04
奇异博士,奇幻,75165,35,18,美国,2016-11-04
唐人街探案,喜剧,68262,32,31,中国,2015-12-31
寒战2,动作,67819,37,27,中国香港/中国,2016-07-08
惊天魔盗团2,动作,63890,33,27,美国,2016-06-24
蝙蝠侠大战超人：正义黎明,动作,61908,36,23,美国,2016-03-25
使徒行者,动作,60624,29,24,中国香港/中国,2016-08-11
神奇动物在哪里,奇幻,58921,35,21,美国/英国,2016-11-25
你的名字。,动画,56592,28,22,日本,2016-12-02
战狼2,动作,567875,36,38,中国,2017-07-27
速度与激情8,动作,267096,37,30,美国,2017-04-14
羞羞的铁拳,喜剧,220175,33,25,中国,2017-09-30
功夫瑜伽,喜剧,175260,38,33,印度/中国,2017-01-28
西游伏妖篇,奇幻,165593,39,36,中国香港/中国,2017-01-28
变形金刚5：最后的骑士,动作,155124,37,23,美国,2017-06-23
摔跤吧！爸爸,喜剧,129912,30,22,印度,2017-05-05
芳华,战争,118754,34,28,中国,2017-12-15
加勒比海盗5：死无对证,动作,117991,36,22,美国,2017-05-26
金刚：骷髅岛,动作,116050,35,20,美国,2017-03-24
寻梦环游记,动画,115251,34,18,美国,2017-11-24
极限特工：终极回归,动作,112741,36,23,美国,2017-02-10
生化危机：终章,科幻,111182,35,20,美国/德国,2017-02-24
乘风破浪,剧情,104853,36,27,中国,2017-01-28
神偷奶爸3,动画,103780,34,20,美国,2017-07-07
蜘蛛侠：英雄归来,动作,77414,35,16,美国,2017-09-08
大闹天竺,喜剧,75793,36,31,中国,2017-01-28
雷神3：诸神黄昏,动作,74303,35,15,美国,2017-11-03
猩球崛起3：终极之战,动作,73978,35,16,美国,2017-09-15
金刚狼3：殊死一战,动作,73163,32,16,美国,2017-03-03
悟空传,奇幻,69653,36,17,中国,2017-07-13
正义联盟,动作,69008,35,13,美国,2017-11-17
银河护卫队2,科幻,68611,37,17,美国,2017-05-05
新木乃伊,动作,62560,35,16,美国,2017-06-09
神奇女侠,动作/奇幻,61010,36,16,美国,2017-06-02
红海行动,动作,365078,39,33,中国/中国香港,2018-02-16
唐人街探案2,喜剧,339769,39,39,中国,2018-02-16
我不是药神,剧情,309996,35,27,中国,2018-07-05
西虹市首富,喜剧,254757,35,28,中国,2018-07-27
复仇者联盟3：无限战争,动作,239053,38,19,美国,2018-05-11
捉妖记2,喜剧,223708,38,44,中国香港/中国,2018-02-16
毒液：致命守护者,动作,187013,36,17,美国,2018-11-09
海王,动作,185218,36,19,美国,2018-12-07
侏罗纪世界2,动作,169588,36,19,美国,2018-06-15
前任3：再见前任,喜剧,164667,35,27,中国,2017-12-29
头号玩家,科幻,139666,36,18,美国,2018-03-30
后来的我们,爱情,136152,34,21,中国,2018-04-28
一出好戏,喜剧,135505,35,26,中国,2018-08-10
无双,动作,127376,36,15,中国/中国香港,2018-09-30
碟中谍6：全面瓦解,动作,124522,37,15,美国,2018-08-31
巨齿鲨,动作,105178,38,22,美国,2018-08-10
狂暴巨兽,动作,100395,35,13,美国,2018-04-13
超时空同居,奇幻,89988,33,12,中国,2018-05-18
蚁人2：黄蜂女现身,动作,83156,36,15,美国/英国,2018-08-24
无名之辈,剧情,79409,35,12,中国,2018-11-16
无问西东,剧情,75430,31,18,中国,2018-01-12
神秘巨星,剧情,74707,30,17,印度,2018-01-19
西游记女儿国,喜剧,72738,40,33,中国,2018-02-16
摩天营救,动作,66981,35,18,美国,2018-07-20
黑豹,动作,66259,36,17,美国,2018-03-09
流浪地球,科幻,459179,45,31,中国,2019-02-05
疯狂的外星人,喜剧,219197,42,30,中国,2019-02-05
飞驰人生,喜剧,170656,42,25,中国,2019-02-05
大黄蜂,动作,114759,36,11,美国,2019-01-04
阿丽塔：战斗天使,动作,86073,38,15,美国/加拿大/阿根廷,2019-02-22
熊出没·原始时代,动画,70825,39,22,中国,2019-02-05
惊奇队长,动作,63399,37,26,美国,2019-03-08
新喜剧之王,喜剧,62129,43,24,中国/中国香港,2019-02-05
白蛇：缘起,动画,44852,34,10,中国/美国,2019-01-11
“大”人物,动作,37861,36,9,中国,2019-01-10
来电狂响,喜剧,36688,35,10,中国,2018-12-28
驯龙高手3,动画,32469,36,12,美国,2019-03-01
绿皮书,剧情,30915,33,15,美国,2019-03-01
死侍2：我爱我家,动作,28629,33,8,美国,2019-01-25
密室逃生,剧情,23212,32,10,美国,2019-01-18
一吻定情,爱情,17256,38,15,中国,2019-02-14
海王,动作,16023,35,9,美国,2018-12-07
神探蒲松龄,奇幻,15218,42,16,中国,2019-02-05
小猪佩奇过大年,动画,12376,42,19,中国,2019-02-05
廉政风云,剧情,11352,43,14,中国/中国香港,2019-02-05
夏目友人帐,动画,8872,30,13,日本,2019-03-07
蜘蛛侠：平行宇宙,动画,7319,36,8,美国,2018-12-21
掠食城市,动作,5046,36,6,美国,2019-01-18
钢铁飞龙之奥特曼崛起,动画,4027,36,6,中国,2019-01-18
一条狗的回家路,剧情,3639,31,6,美国,2019-01-18
