salary,companySize,district,work_year,company_name,position_name,positionAdvantage
20k-35k,50-150人,朝阳区,3-5年,北京乐途原动力科技发展有限公司,python 高级工程师,"十五薪,打车补贴,双月奖金"
20k-40k,50-150人,海淀区,3-5年,上海海知智能科技有限公司,Python开发工程师,"创新前沿,技术大牛,成长空间大,工作弹性"
15k-25k,15-50人,海淀区,1-3年,北京云杉智达科技有限公司,Python后端开发,提供住宿、五险一金、晋升空间
30k-50k,500-2000人,海淀区,1-3年,北京旷视科技有限公司,旷视研究院-高级python工程师,技术氛围浓厚 大牛带队 发展空间大
15k-25k,500-2000人,朝阳区,3-5年,维我软件（上海）有限公司北京分公司,Python软件工程师,20天带薪年假 核心产品研发
30k-50k,150-500人,海淀区,3-5年,上海杏和投资管理有限公司,python开发,15薪 超强团队
20k-30k,15-50人,朝阳区,3-5年,北京心知科技有限公司,Python后端开发工程师,商业前途 技术精英 良好环境 亲密有爱
20k-40k,500-2000人,海淀区,3-5年,北京金山云网络技术有限公司,云计算开发工程师（Python）,免费三餐 免费班车 下午茶
25k-50k,150-500人,海淀区,3-5年,北京汉迪移动互联网科技股份有限公司,高级Python工程师,"硅谷氛围,高手如云,零食水果,六险一金"
10k-15k,150-500人,海淀区,1-3年,会找房（北京）网络技术有限公司,数据开发工程师（python）(J10198),领导nice，发挥空间大，
20k-30k,150-500人,海淀区,3-5年,北京步鼎方舟科技有限公司,Python高级开发工程师,一日三餐、带薪年假、弹性工作、六险一金
20k-30k,500-2000人,朝阳区,1-3年,掌阅科技股份有限公司,Python研发工程师（数据）,"上市公司,丰富福利,数据驱动,免费旅游"
20k-30k,150-500人,东城区,3-5年,北京汇行科技有限公司,Python后端工程师-经理级,"七险一金,14薪,晋升空间,部门负责人"
20k-40k,2000人以上,海淀区,不限,北京小米科技有限责任公司,Python开发工程师,优秀的团队
20k-35k,50-150人,海淀区,3-5年,北京启明合心科技有限公司,高级python后端工程师,"领导好,不打卡,氛围好"
25k-45k,50-150人,朝阳区,3-5年,北京优全智汇信息技术有限公司,高级Python开发工程师,餐补，交通补助，五险一金等
15k-20k,2000人以上,朝阳区,5-10年,绫致时装（天津）有限公司,高级零售系统工程师 （Python工程师）,"大平台,新零售系统"
15k-30k,150-500人,海淀区,5-10年,北京首都在线科技股份有限公司,python研发工程师,"薪酬福利好,云计算公司"
25k-50k,500-2000人,海淀区,3-5年,北京旷视科技有限公司,Python后端开发工程师,大牛多，技术氛围好
25k-35k,500-2000人,朝阳区,5-10年,维我软件（上海）有限公司北京分公司,高级Python工程师,20天带薪年假 核心产品研发 股票
12k-24k,15-50人,海淀区,1-3年,北京云杉智达科技有限公司,Python后端,五险一金、晋升空间、绩效奖金
25k-50k,500-2000人,朝阳区,3-5年,上海一起作业信息科技有限公司,python高级开发工程师（技术）,"独角兽,待遇好,工作环境好"
15k-25k,500-2000人,朝阳区,3-5年,北京亿心宜行汽车技术开发服务有限公司,运维工程师-阿里云平台/Python编程,五险一金、补充医疗、高额餐补、高额奖金
25k-35k,150-500人,朝阳区,3-5年,北京向上一心科技有限公司,Python开发工程师,"六险一金,超多假期 正常双休"
16k-20k,150-500人,海淀区,3-5年,小小黛朵（北京）科技有限公司,python工程师,九险一金
20k-40k,150-500人,海淀区,3-5年,锐波（北京）科技有限公司,高级 Python 工程师,"区块链技术,国际化团队,技术大牛,发展前景好"
15k-25k,少于15人,朝阳区,3-5年,北京爱选信息科技有限公司,Python开发工程师,"金融科技类,公司氛围好"
15k-25k,150-500人,朝阳区,3-5年,北京车势科技有限公司,Python,领导nice
10k-20k,少于15人,朝阳区,1-3年,北京挖优狗科技有限公司,Python数据处理工程师,"清华团队,金融科技,成长空间大,技术先进"
25k-35k,150-500人,朝阳区,5-10年,东盛华达（武汉）企业管理咨询有限公司,python,"五险一金,股票期权,带薪年假,年终奖"
17k-25k,2000人以上,大兴区,3-5年,北京金风科创风电设备有限公司,python,朝九晚五，互联网+
20k-40k,2000人以上,朝阳区,3-5年,北京百乘金科科技有限公司,Python量化系统工程师,"五险一金,绩效奖金,餐补,带薪年假"
10k-18k,150-500人,海淀区,3-5年,北京步鼎方舟科技有限公司,Python开发工程师,"一日三餐,六险一金,14薪,定期团建"
25k-50k,500-2000人,海淀区,3-5年,北京旷视科技有限公司,Python后端工程师,大牛多
15k-25k,500-2000人,海淀区,3-5年,北京国双科技有限公司,高级Python研发工程师（DevOps经验优先）,"上市公司,大数据企业,年终奖金,带薪年假"
18k-30k,50-150人,朝阳区,3-5年,路书（北京）科技有限公司,python研发工程师,"期权分享,高颜值产品,年度旅游,弹性工作制"
10k-20k,50-150人,海淀区,1-3年,北京江民新科技术有限公司,Python web应用开发程序员,五险一金 节日福利 员工旅游 加班补助
25k-45k,2000人以上,朝阳区,3-5年,北京京东世纪贸易有限公司,Python高级工程师,弹性工作制
15k-30k,150-500人,海淀区,1-3年,北京汉迪移动互联网科技股份有限公司,Python开发工程师,"硅谷氛围,高手如云,零食水果"
20k-25k,50-150人,朝阳区,1-3年,北京小龙虾科技有限公司,python研发工程师,"扁平化管理,免费中午餐,下午茶零食,六险一金"
13k-25k,150-500人,海淀区,不限,北京凌云雀科技有限公司,Python,"前沿科技,靠谱团队,工程师文化,H1B计划"
15k-25k,2000人以上,朝阳区,5-10年,绫致时装（天津）有限公司,python开发工程师,大平台
25k-50k,50-150人,朝阳区,3-5年,北京音未文化传媒有限责任公司,python后端,产品类型大而少见。挑战性强。
15k-25k,2000人以上,海淀区,1-3年,联想（北京）有限公司,python开发工程师（）,带薪年假
20k-40k,150-500人,海淀区,3-5年,混沌时代（北京）教育科技有限公司,python后台工程师,"弹性工作,六险一金,学习氛围,绩效奖金"
15k-25k,2000人以上,海淀区,3-5年,北京车之家信息技术有限公司,Python开发工程师,平台好，发展空间大
20k-40k,500-2000人,朝阳区,3-5年,上海淇毓信息科技有限公司,服务端Python工程师-北京,优秀团队 优秀项目
20k-40k,少于15人,海淀区,3-5年,进化时代科技（北京）有限责任公司,高级Python开发工程师,"牛津大牛,数据驱动,激励丰厚,七险一金"
25k-50k,500-2000人,海淀区,5-10年,北京旷视科技有限公司,python高级后端工程师,核心团队
10k-15k,2000人以上,海淀区,1-3年,联想（北京）有限公司,Python 开发,稳定
25k-40k,2000人以上,朝阳区,3-5年,便利蜂商贸有限公司,python工程师(J11548),五险一金
35k-45k,2000人以上,朝阳区,3-5年,北京三快在线科技有限公司,服务端高级开发工程师Golang/Python,"优厚待遇,技术导向"
18k-36k,500-2000人,海淀区,1-3年,北京智者天下科技有限公司,Python 开发工程师,"一日三餐,免费健身,弹性工时"
15k-30k,150-500人,海淀区,3-5年,会找房（北京）网络技术有限公司,高级Python开发（数据开发）(J10204),五险一金+14薪+弹性工作
20k-30k,500-2000人,海淀区,5-10年,银客未来科技（北京）有限公司,python开发工程师,"七险一金,绩效奖金"
25k-50k,500-2000人,朝阳区,3-5年,上海一起作业信息科技有限公司,python高级开发工程师（技术）,"独角兽,待遇好"
40k-60k,50-150人,朝阳区,3-5年,北京小龙虾科技有限公司,Python,"免费中晚餐,下午茶,六险一金,扁平化管理"
20k-40k,150-500人,海淀区,3-5年,北京春雨天下软件有限公司,Python,有挑战，自主加薪，技术氛围好
15k-30k,15-50人,朝阳区,3-5年,北京摩尔妈咪网络科技有限公司,高级python开发工程师,"大牛带队,注重成长,季度奖金,免费午餐"
18k-28k,150-500人,朝阳区,3-5年,赤子城网络技术（北京）有限公司,python开发,七险一金，绩效奖金
20k-26k,2000人以上,海淀区,应届毕业生,北京字节跳动科技有限公司,Python开发工程师（商业变现校招）,六险一金，高薪期权，弹性工作，免费三餐
15k-25k,500-2000人,朝阳区,1-3年,维我软件（上海）有限公司北京分公司,Python软件工程师,纽交所上市 美资 20天带薪年假 股票
10k-15k,2000人以上,海淀区,1-3年,上海微创软件股份有限公司北京分公司,python开发工程师,"六险一金,弹性上班,氛围好"
25k-50k,500-2000人,海淀区,3-5年,北京旷视科技有限公司,高级Python后端工程师,大牛多
18k-36k,500-2000人,海淀区,1-3年,北京智者天下科技有限公司,Python 开发工程师,"弹性工时,一日三餐"
16k-28k,50-150人,朝阳区,3-5年,北京国富如荷网络科技有限公司,Python工程师,C轮 全额六险一金、14薪
18k-36k,500-2000人,海淀区,不限,零氪信息技术（北京）有限公司,Python工程师,"15薪,六险一金,午晚餐补助,弹性不打卡"
18k-25k,50-150人,通州区,5-10年,北京中谷金科信息技术有限公司,高级python工程师,"晋升快,人工智能,量化开发,五险一金"
15k-17k,2000人以上,西城区,3-5年,深圳市金证科技股份有限公司,Python 开发工程师,"金融央企,五险一金"
15k-30k,50-150人,海淀区,1-3年,北京明日虫洞科技有限公司,Python,技术团队牛人多&nbsp;核心人员背景强&nbsp;福利好
25k-35k,500-2000人,朝阳区,3-5年,深圳市麦达数字股份有限公司,PYTHON研发工程师,"上市公司,五险一金,薪酬福利好,发展空间大"
25k-40k,50-150人,朝阳区,5-10年,路书（北京）科技有限公司,高级python研发工程师,"优秀团队,高颜值产品,年度旅游,扁平化管理"
20k-40k,150-500人,朝阳区,不限,北京向上一心科技有限公司,python开发工程师,"待遇优,加班少,临近地铁"
